,SEG
0,432584
1,-21321705
2,-56053462
3,87057360
4,-101953016
5,-74881848
6,-139330136
7,50374608
8,71469630
9,108666148
10,98512608
11,57022208
12,-39373622
13,-182244920
14,83856214
15,-124957168
16,69434816
17,182314808
18,-97686
19,28373484
20,-69561376
21,-48448816
22,25896288
23,-133676
24,94704
25,11939648
26,-50197792
27,66116144
28,83847312
29,36446096
30,-93138584
31,19078576
32,-43194624
33,-43203610
34,110234652
35,-1216352
36,1604208
37,-25242
38,-36394532
39,19456832
40,-1643744
41,-3312548
42,-1816584
43,-66039752
44,62671356
45,59966260
46,65496740
47,-35254088
48,-58301868
49,-97419004
50,-66348260
51,45291536
52,-127569392
53,39479520
54,1779192
55,-14467880
56,113771232
57,-6637312
58,3805112
59,-431822256
60,76424848
61,-433914384
62,-442052216
63,456211960
64,-209061312
65,300053208
66,433729208
67,-85262256
68,-310768
69,-600696
70,56276424
71,75406152
72,-230126648
73,-284419760
74,-477251552
75,-423627864
76,-44342376
77,422513152
78,471291776
79,440829772
80,467284293
81,-77562436
82,-20757752
83,-437427364
84,-55310197
85,80538932
86,-148909544
87,423091056
88,16747952
89,-44916240
90,79270432
91,-55560360
92,-57788928
93,-156707968
94,-157029472
95,4752
96,52606320
97,273797088
98,233181264
99,40108072
100,-3000
101,-497804000
102,-68788296
103,-421147160
104,-6806720
105,426811400
106,90348664
107,477441184
108,50798716
109,50833744
110,11360716
111,5692405
112,-19920
113,12457228
114,-33352172
115,-30497889
116,-19343876
117,-37733220
118,1508800
119,-66538932
120,-30147048
121,-162487008
122,-169742640
123,70664336
124,61344296
125,180147240
126,128247632
127,-239763712
128,-504230032
129,20039844
130,73365148
131,235378836
132,455198160
133,-56605960
134,-63262580
135,-27929292
136,-14952960
137,6921036
138,-462628
139,6830504
140,-2029544
141,-149611024
142,-7676996
143,-142166384
144,-429695880
145,-304042592
146,20349952
147,-302377104
148,430517584
149,463954176
150,6565696
151,434388960
152,-23352160408
153,-8553888
154,-651968
155,-411541512
156,22918936
157,-1043592
158,-23383159896
159,-33768144
160,22880784312
161,-79572224
162,22973917728
163,71645808
164,241299792
165,-5832688
166,7089584
167,-54639184
168,221430600
169,134327928
170,447159896
171,449391192
172,55188048
173,-1296512
174,4283008
175,52197408
176,-5016720
177,-50176288
178,-60399968
179,-60531632
180,-42033632
181,3564880
182,8214672
183,8196048
184,11783296
185,3895392
186,16249824
187,16279456
188,-23392272
189,-10999280
190,-24455840
191,-24460448
192,58618752
193,-1077648
194,14512
195,38144600
196,-59762368
197,11296
198,-11936
199,21664712
200,1075264
201,1071920
202,1158512
203,-51613120
204,-1035056
205,59459024
206,-1045456
207,51591504
208,59716752
209,-55312
210,54997392
211,752416
212,-59742112
213,-60359600
214,297280
215,7792
216,34112
217,8173904
218,-55232624
219,-487849928
220,-433584168
221,-441827568
222,-433679576
223,-6195928
224,434663048
225,434672720
226,433522984
227,471641968
228,7097008
229,-1108672
230,8286608
231,21976176
232,46594816
233,6806056
234,51541032
235,-58967952
236,-54841168
237,48068056
238,-4659320
239,-1070320
240,59845672
241,-53805968
242,4930384
243,387664
244,-14028504
245,-1173056
246,-851133480
247,-143681224
248,-27295912
249,18574824
250,696545616
251,85283872
252,-76460296
253,-113000120
254,36539808
255,8
256,59137968
257,95678128
258,59027608
259,66103520
260,58903972
261,44617392
262,58766336
263,-86385184
264,-53241404
265,-45569408
266,-58725264
267,86517424
268,-5692968
269,10781856
270,-175352800
271,-182515776
272,9861344
273,-2862560
274,234701872
275,180000472
276,44288816
277,-456699568
278,-509011712
279,-796801784
280,5194960
281,459029744
282,456732336
283,799207872
284,-52307840
285,44424368
286,9376
287,47006688
288,47006192
289,126444
290,47905592
291,-8624
292,-138914248
293,-50681324
294,-44117224
295,-446268408
296,91891016
297,6988048
298,-11124672
299,391421016
300,51776480
301,13225487
302,-396763984
303,17372024
304,-5193136
305,-24108111
306,396349616
307,37033736
308,324120
309,407744
310,54328752
311,-54294304
312,-13429536
313,352752
314,-53550656
315,794704
316,-41197560
317,-7045928
318,-7062752
319,-7066844
320,54699040
321,24504504
322,24517352
323,65674828
324,4711904
325,41160433
326,111349000
327,-850569184
328,119028944
329,-139102833
330,-260428240
331,361066160
332,-574956272
333,-350273152
334,84838472
335,384101616
336,388436672
337,429398080
338,50854552
339,52077360
340,-37995904
341,5426176
342,-53412272
343,-57650592
344,38150320
345,-76877632
346,-2144660
347,-348714240
348,-40014384
349,125779648
350,2737780
351,393709536
352,108065536
353,-25177200
354,-102564864
355,35146564
356,-210653824
357,7174304
358,179234672
359,-8092484
360,212133796
361,122680
362,-174656047
363,-23569168
364,-13109682
365,-38928328
366,219677079
367,377344
368,-27989298
369,48145168
370,-53210056
371,47798832
372,24566896
373,-8072704
374,41149152
375,320
376,-24576288
377,-88507120
378,-113154174
379,-104990592
380,-15041288
381,-343748856
382,72024750
383,81598640
384,56509288
385,457225064
386,1146968
387,40438448
388,-16967696
389,145776
390,4767064
391,-40443980
392,17104912
393,-17069152
394,35527488
395,1228
396,-149360
397,-9116208
398,-16885856
399,40356504
400,272555600
401,26067504
402,16940464
403,-40352184
404,-298640048
405,-26320392
406,-350944
407,23415440
408,-9446592
409,-484599128
410,-35239664
411,-9404640
412,-349978832
413,-136832
414,-475485376
415,12924112
416,372167856
417,497669712
418,14988320
419,-482656164
420,-75857848
421,-75853168
422,469835088
423,455392196
424,-406805304
425,75846288
426,9284464
427,40677100
428,486480208
429,13387828
430,7385096
431,63515316
432,-24803936
433,-22715828
434,-26087496
435,-93262093
436,-1290108
437,-12898580
438,12099744
439,-5526105
440,16931852
441,-8534208
442,-21018404
443,-9320670
444,82183216
445,72152260
446,72557588
447,72559100
448,-72380592
449,-36922368
450,5296
451,145576
452,72436400
